batch_idx,batch_cd,running_avg_cd,batch_f1_tau,running_avg_f1_tau,batch_f1_2tau,running_avg_f1_2tau
001640,0.000481,0.000139,0.594186,0.187420,0.752659,0.235799
001645,0.000481,0.000139,0.594176,0.187423,0.752690,0.235810
001650,0.000481,0.000139,0.594221,0.187434,0.752737,0.235824
001655,0.000481,0.000139,0.594339,0.187456,0.752838,0.235846
001660,0.000481,0.000139,0.594371,0.187465,0.752827,0.235850
001665,0.000480,0.000139,0.594705,0.187519,0.753089,0.235896
001670,0.000480,0.000165,0.594988,0.237944,0.753299,0.297237
001675,0.000480,0.000178,0.594787,0.232266,0.753084,0.292077
001680,0.000480,0.000178,0.594887,0.233590,0.753186,0.293687
001685,0.000481,0.000178,0.594865,0.233360,0.753107,0.293184
001690,0.000481,0.000179,0.594914,0.233617,0.753072,0.293130
001695,0.000481,0.000181,0.594714,0.232652,0.752871,0.292338
001700,0.000482,0.000181,0.594663,0.232547,0.752792,0.292255
001705,0.000482,0.000183,0.594451,0.231923,0.752510,0.291497
001710,0.000484,0.000186,0.594312,0.231659,0.752346,0.291267
001715,0.000484,0.000186,0.594280,0.231736,0.752272,0.291327
001720,0.000486,0.000189,0.594210,0.231705,0.752198,0.291373
001725,0.000485,0.000188,0.594070,0.231520,0.752109,0.291375
001730,0.000486,0.000188,0.593900,0.231299,0.751904,0.291134
001735,0.000486,0.000187,0.593947,0.231531,0.751895,0.291308
001740,0.000486,0.000187,0.593721,0.231236,0.751704,0.291127
001745,0.000487,0.000187,0.593514,0.231008,0.751483,0.290914
001750,0.000487,0.000186,0.593406,0.230965,0.751407,0.290960
001755,0.000487,0.000186,0.593437,0.231138,0.751408,0.291117
001760,0.000488,0.000187,0.593251,0.230979,0.751175,0.290919
001765,0.000488,0.000187,0.593044,0.230805,0.750940,0.290736
001770,0.000488,0.000186,0.593179,0.231096,0.751027,0.290993
001775,0.000489,0.000187,0.592908,0.230851,0.750743,0.290759
001780,0.000489,0.000186,0.592886,0.230925,0.750728,0.290869
001785,0.000489,0.000186,0.593041,0.231199,0.750883,0.291167
001790,0.000488,0.000185,0.593008,0.231241,0.750864,0.291247
001795,0.000489,0.000185,0.593068,0.231380,0.750878,0.291356
001800,0.000489,0.000184,0.593056,0.231434,0.750811,0.291373
001805,0.000489,0.000227,0.593066,0.280572,0.750786,0.348650
001810,0.000488,0.000206,0.593749,0.292058,0.751226,0.358103
001815,0.000487,0.000208,0.594370,0.293087,0.751604,0.358814
001820,0.000487,0.000205,0.594990,0.293519,0.752043,0.359616
001825,0.000489,0.000223,0.595146,0.290776,0.751990,0.356897
001830,0.000488,0.000220,0.595600,0.290632,0.752253,0.356851
001835,0.000488,0.000219,0.596185,0.291126,0.752594,0.357174
001840,0.000487,0.000217,0.596597,0.290835,0.752838,0.357044
001845,0.000487,0.000216,0.597009,0.290618,0.753091,0.356982
001850,0.000487,0.000216,0.597510,0.290728,0.753354,0.356965
001855,0.000487,0.000218,0.597484,0.289369,0.753250,0.355941
001860,0.000488,0.000220,0.597645,0.288720,0.753239,0.355335
001865,0.000488,0.000220,0.597973,0.288567,0.753416,0.355261
001870,0.000487,0.000219,0.598378,0.288607,0.753642,0.355305
001875,0.000486,0.000217,0.598945,0.288972,0.754030,0.355675
001880,0.000485,0.000216,0.599556,0.289376,0.754477,0.356109
001885,0.000487,0.000219,0.599832,0.289144,0.754532,0.355799
001890,0.000487,0.000219,0.600327,0.289307,0.754837,0.355944
001895,0.000486,0.000217,0.600929,0.289627,0.755232,0.356220
001900,0.000485,0.000216,0.601608,0.290035,0.755707,0.356590
001905,0.000486,0.000218,0.601789,0.289690,0.755722,0.356266
001910,0.000485,0.000217,0.602288,0.289818,0.756022,0.356364
001915,0.000485,0.000217,0.602752,0.289891,0.756307,0.356436
001920,0.000484,0.000216,0.603436,0.290240,0.756783,0.356744
001925,0.000485,0.000217,0.603581,0.289908,0.756776,0.356443
001930,0.000484,0.000217,0.604166,0.290119,0.757163,0.356627
001935,0.000484,0.000216,0.604472,0.290001,0.757387,0.356616
001940,0.000483,0.000216,0.605090,0.290234,0.757825,0.356840
001945,0.000482,0.000215,0.605751,0.290500,0.758279,0.357069
001950,0.000481,0.000215,0.606337,0.290675,0.758654,0.357202
001955,0.000481,0.000214,0.606776,0.290695,0.758951,0.357251
001960,0.000480,0.000214,0.607289,0.290788,0.759282,0.357332
001965,0.000480,0.000214,0.607729,0.290809,0.759572,0.357371
001970,0.000479,0.000213,0.608169,0.290830,0.759864,0.357411
001975,0.000480,0.000214,0.608379,0.290649,0.759942,0.357260
001980,0.000479,0.000214,0.608894,0.290742,0.760276,0.357338
001985,0.000479,0.000214,0.609251,0.290699,0.760501,0.357323
001990,0.000479,0.000214,0.609234,0.290354,0.760378,0.357024
001995,0.000479,0.000215,0.609671,0.290389,0.760631,0.357040
002000,0.000479,0.000214,0.610238,0.290527,0.760990,0.357140
002005,0.000478,0.000214,0.610787,0.290646,0.761367,0.357250
002010,0.000477,0.000213,0.611175,0.290641,0.761635,0.357275
002015,0.000477,0.000214,0.611593,0.290659,0.761900,0.357297
002020,0.000478,0.000214,0.611858,0.290568,0.762061,0.357245
002025,0.000477,0.000214,0.612210,0.290544,0.762243,0.357210
002030,0.000477,0.000214,0.612515,0.290489,0.762441,0.357188
002035,0.000476,0.000214,0.612840,0.290451,0.762610,0.357149
002040,0.000477,0.000214,0.613123,0.290388,0.762727,0.357077
002045,0.000478,0.000215,0.613523,0.290405,0.762957,0.357082
002050,0.000477,0.000215,0.613908,0.290412,0.763181,0.357083
002055,0.000478,0.000215,0.613933,0.290195,0.763085,0.356885
